planta,trat,doy,tallo_1,tallo_2,tallo_3,tallo_4,tallo_5,flores,hv,hm,tallo,h_t,pa,c,pac,r,ra,rsum
Lotus tenuis,a,194,45,40.25,41.75,40.75,40,0,1.18295,0.0195,1.4914,0.806255867,2.69385,0.2406,2.93445,0.6838,0,0.6838
Lotus tenuis,a,194,44.5,43.5,40.5,38,37.5,0,1.1544,0.0463,1.2778,0.939661919,2.4785,0.2258,2.7043,0.54555,0,0.54555
Lotus tenuis,a,194,39.75,40.5,39,38.5,36.5,0,0.63865,0.0182,0.91435,0.718379176,1.5712,0.2144,1.7856,0.48995,0,0.48995
Lotus tenuis,a,194,45,44.75,43.75,40.25,38.25,0,0.557,0.02805,0.8213,0.71234628,1.40635,0.10735,1.5137,0.28195,0,0.28195
Lotus corniculatus,a,194,42.5,39.5,38,38,36,0,1.0365,0.0053,1.031,1.010475267,2.0728,0.2367,2.3095,0.6912,0,0.6912
Lotus corniculatus,a,194,36.5,35,34,34,34,0,2.8125,0,1.7684,1.590420719,4.5809,0.8567,5.4376,1.9863,0,1.9863
Lotus corniculatus,a,194,32,28.5,28,26,24,0,1.0395,0.0554,0.7457,1.468284833,1.8406,0.2888,2.1294,0.915,0,0.915
Lotus corniculatus,a,194,42,40.5,37.5,37.5,34,0,1.2285,0.0172,1.1032,1.129169688,2.3489,0.1384,2.4873,0.5172,0,0.5172
Lotus corniculatus,a,194,45,37.5,36,31.5,31,0,1.2515,0,1.0187,1.228526553,2.2702,0.2329,2.5031,0.8422,0,0.8422
Lotus corniculatus,a,194,57,54.5,45,39,38,0,1.2736,0.0281,1.187,1.09663016,2.4887,0.2039,2.6926,0.4063,0,0.4063
Lotus corniculatus,a,194,39.5,32.5,30.5,30,28,0,1.2902,0.0637,0.9977,1.357021149,2.3516,0.1941,2.5457,0.9284,0,0.9284
Lotus corniculatus,a,194,51.5,48.5,48,41,40.5,0,1.7956,0.0143,1.5428,1.173126782,3.3527,0.4016,3.7543,1.308,0,1.308
Lotus corniculatus,a,194,34,27.5,27,26,26,0,1.5928,0,0.9046,1.760778245,2.4974,0.287,2.7844,0.7685,0,0.7685
Lotus corniculatus,a,194,52.5,50.5,44,43,38,0,1.6636,0,1.6935,0.982344257,3.3571,0.3048,3.6619,1.1771,0,1.1771
Trébol frutilla,c,237,99.5,97.5,96.5,93.5,90.5,0,3.16295,0.41745,7.70925,0.464429095,11.28965,0.79355,12.0832,0.97565,0.0896,1.06525
